kind	file	key	detail
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_gdpr.msg.23.json	Dev1_Term_GDPR_PrivacyPolicy_Popup	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_gdpr.msg.23.json	Dev1_Term_GDPR_PrivacyPolicy_Popup	src_lf=0 dst_lf=4
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_gdpr.msg.23.json	Dev1_Term_GDPR_AgeConfirm_Confirmation	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_gdpr.msg.23.json	Dev1_Term_GDPR_AgeConfirm_Confirmation	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_ButtonIconType_Desc	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_ButtonIconType_Desc	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_UpscaleSharpness_Desc	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_UpscaleSharpness_Desc	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_FSR_Desc	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_FSR_Desc	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_DLSS_SUPERRESOLUTION_Desc	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_DLSS_SUPERRESOLUTION_Desc	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_DLSS_FRAMEGENERATION_Desc	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_option.msg.23.json	Dev1_Term_Option_DLSS_FRAMEGENERATION_Desc	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_Autosave_Announce2	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_Autosave_Announce2	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SystemData_LoadFail_DataDelete	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SystemData_LoadFail_DataDelete	src_lf=0 dst_lf=4
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SaveFail_NoSpace_PC	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SaveFail_NoSpace_PC	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SaveFail_NoSpace_PS5	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SaveFail_NoSpace_PS5	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SaveFail_NoSpace_XSX	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SaveFail_NoSpace_XSX	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SaveFail_NoSpace_NSW	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_SaveFail_NoSpace_NSW	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_Transfer_During	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_Transfer_During	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_UpDate_Prompt1	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_UpDate_Prompt1	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_UpDate_Prompt2	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_saveload.msg.23.json	Dev1_Term_Saveload_UpDate_Prompt2	src_lf=0 dst_lf=3
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_system.msg.23.json	Dev1_Term_System_ControllerDisconnect_PS	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_system.msg.23.json	Dev1_Term_System_ControllerDisconnect_PS	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_system.msg.23.json	Dev1_Term_System_ControllerDisconnect_XB	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_system.msg.23.json	Dev1_Term_System_ControllerDisconnect_XB	src_lf=0 dst_lf=2
crlf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_system.msg.23.json	Dev1_Term_System_Error_PC	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/term/dev1_term_system.msg.23.json	Dev1_Term_System_Error_PC	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/importedpackage/dev1term/message/trial/dev1_term_trial.msg.23.json	Dev1_Term_Trial_UnderDevelopment	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/importedpackage/dev1term/message/trial/dev1_term_trial.msg.23.json	Dev1_Term_Trial_UnderDevelopment	src_lf=0 dst_lf=2
protected_term_missing	natives/stm/message/dialog/dialog_battlepl.msg.23.json	BattlePL_2000_0010_ch0100	source contains 'Hatchet'
protected_term_missing	natives/stm/message/dialog/dialog_battlepl.msg.23.json	BattlePL_2001_0010_ch0100	source contains 'Hatchet'
protected_term_missing	natives/stm/message/dialog/dialog_battlepl.msg.23.json	BattlePL_2002_0010_ch0100	source contains 'Hatchet'
crlf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s200_0050_ch0600	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s200_0050_ch0600	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s200_0070_ch0600	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s200_0070_ch0600	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s200_0110_ch0100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s200_0110_ch0100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s200_0130_ch0600	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s200_0130_ch0600	src_lf=0 dst_lf=1
lf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_c410s201_0040_ch0600	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_0025_0020_ch0600	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_0025_0020_ch0600	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_1040_0010_ch0100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centba.msg.23.json	CentBA_1040_0010_ch0100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_0060_0010_ch0100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_0060_0010_ch0100	src_lf=0 dst_lf=1
lf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_0070_0010_ch0100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_c450s900_0010_ch0100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_c450s900_0010_ch0100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_c450s900_0030_ch0100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_c450s900_0030_ch0100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_c450s900_0040_ch0600	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_centuc.msg.23.json	CentUC_c450s900_0040_ch0600	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_ending.msg.23.json	Ending_c540s400_0030_ch9928	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_ending.msg.23.json	Ending_c540s400_0030_ch9928	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c110s000_0170_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c110s000_0170_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c110s000_0220_ch1500	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c110s000_0220_ch1500	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c110s000_0270_ch1500	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c110s000_0270_ch1500	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c110s000_0350_ch1500	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c110s000_0350_ch1500	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s100_0110_ch4030	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s100_0110_ch4030	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s100_0150_ch4030	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s100_0150_ch4030	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s100_0160_ch4030	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s100_0160_ch4030	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s100_0210_ch4030	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s100_0210_ch4030	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s310_0080_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s310_0080_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s310_0190_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s310_0190_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s410_0070_ch4210	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s410_0070_ch4210	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s410_0080_ch4210	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s410_0080_ch4210	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0050_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0050_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0100_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0100_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0120_ch1800	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0120_ch1800	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0150_ch1800	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0150_ch1800	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0250_ch1800	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s500_0250_ch1800	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_2099_0010_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_2099_0010_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_2610_0010_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_2610_0010_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s900_0110_ch5100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_c111s900_0110_ch5100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9030_0030_ch2000	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9030_0030_ch2000	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9041_0020_ch2000	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9041_0020_ch2000	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9041_0050_ch2000	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9041_0050_ch2000	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9050_0020_ch2100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9050_0020_ch2100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9050_0030_ch2100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_hotel3.msg.23.json	Hotel3_9050_0030_ch2100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mange.msg.23.json	ManGE_0650_0010_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mange.msg.23.json	ManGE_0650_0010_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mange.msg.23.json	ManGE_c311s610_0010_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mange.msg.23.json	ManGE_c311s610_0010_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_c321s200_0070_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_c321s200_0070_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_0820_0010_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_0820_0010_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_c321s400_0170_ch5100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_c321s400_0170_ch5100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_1000_0010_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_1000_0010_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_2200_0020_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_2200_0020_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_2200_0030_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangm3.msg.23.json	ManGM3_2200_0030_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_1000_0010_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_1000_0010_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_1500_0040_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_1500_0040_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_c341s050_0240_ch1510	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_c341s050_0240_ch1510	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_c341s050_0290_ch1510	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_c341s050_0290_ch1510	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_1517_0010_ch1510	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_mangua.msg.23.json	ManGUA_1517_0010_ch1510	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_manlc.msg.23.json	ManLC_1005_0030_ch0100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_manlc.msg.23.json	ManLC_1005_0030_ch0100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_manlc.msg.23.json	ManLC_c342s800_0120_ch0100	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_manlc.msg.23.json	ManLC_c342s800_0120_ch0100	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_movie.msg.23.json	Movie_c991s000_0030_ch0200	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_movie.msg.23.json	Movie_c991s000_0030_ch0200	src_lf=0 dst_lf=1
crlf_mismatch	natives/stm/message/dialog/dialog_movie.msg.23.json	Movie_c991s000_0080_ch1500	src_crlf=0 dst_crlf=0
lf_mismatch	natives/stm/message/dialog/dialog_movie.msg.23.json	Movie_c991s000_0080_ch1500	src_lf=0 dst_lf=1
